shortname,website,region,rating_google,reviews,field_lcp,field_cls,field_inp,field_fcp,field_speed_problem,field_ux_problem,perf_score,issues,category,accessibility,best_practices,seo,concatenated_reviews,title,mobile,mobile_lcp,mobile_cls,mobile_inp,desktop,desktop_lcp,desktop_cls,desktop_inp,lab_speed_problem,lab_ux_problem,fh_score,rating,img_sav_kb,js_sav_kb,css_sav_kb,photo_url,fh_site,account_tier,latitude,longitude
mundomarino.es,https://mundomarino.es,EMEA,4.1,539,3.2 s,0.012,n/a,2.3 s,🟡 Borderline,⚪ n/a,40,"High LCP (avg: 6.8s), Layout Shift (avg: 0.400)",Mundo Marino Grupo,n/a,n/a,n/a,"For an hour and a half the 20€ is 100% worth it. Like most other reviews - double the time would also be amazing, but even with the short time you cruise out for about 20 minutes and swim for about an..., Booked online, got a combo ticket as well with Pompidou museum entrance for a cheap price! Had no issues at all, staff were very friendly and fast responses on their social media. Went in March the on..., A sweet and small sea voyage.

While on a tour to Valencia I had booked this Catamaran tour online through the website of Group Mundo. The experience of booking was very smooth and there was a continu..., Very lovely boat ride with stunning views of the sunset in Malaga. When we attended on 11 June the sun was very large in the sky and the view was incredible! There is a bar on board and availability t..., Absolutely perfect. Pay a little more for the reserved mesh lounge areas in the front. You won’t be disappointed!  Fantastic cruise and a great stop for lunch and a swim.",Excursiones en Barco - Mundo Marino,43,8.8 s,0.496,9.2 s,38,4.7 s,0.305,4.9 s,🔴 High (Slow),⚪ n/a,32,Poor,2407.2,351.8,226.89999999999998,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpc3awDvDooBl3ViIiOvxbDaCpv7YCbZp-QCuHsNe_FO5T9b99JNsS85OOphktpUXcCsYzSpahhHZNzFUQVT18_XMEMQubeJMXFVAuPLpoJvf4FmTLjwD4JWvsgRqAKBjhDO78GZPGvBwW_3WeFTuDWw8qageimY8bs0HKhdnjDAp5GKzdtOJlHjsR8ye24T79bi9QsETfAPhOTVy_RjZaR_8HnidbSqjHRDvfvJN91STy_9PLvz1fCNSyZROsblqrRKNNUs8zdt1Ndsu4V3bF2fAvX3RYDUwJbRMc4pf96bbl6EThfv9hUIT7mOZ705pT9YPI8ZRBs&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,4,38.8419766,0.110686
sorrentofoodtours.com,https://sorrentofoodtours.com,EMEA,n/a,n/a,1.5 s,0.018,n/a,1.3 s,🟢 Stable,⚪ n/a,73,"High LCP (avg: 8.3s), Desktop bonus (+2)",sorrentofoodtours.com,n/a,n/a,n/a,n/a,Sorrento Food Tours | Experience Excursions & Food Tours in Italy,51,15.6 s,0,15.8 s,95,1.0 s,0.012,2.9 s,🟡 Borderline,⚪ n/a,70,Needs Improvement,1518.4,1196.8000000000002,146.8,n/a,Yes,2,n/a,n/a
localexpertstours.com,https://localexpertstours.com,EMEA,4.9,413,n/a,n/a,n/a,n/a,⚪ n/a,⚪ n/a,88,"Mobile bonus (+2), Desktop bonus (+2)",Local Experts Tours,n/a,n/a,n/a,"My teen daughter and I took a 4 hour guided tour of Hondarriba, San Juan and San Pedros.

Iker was our guide - and he really brought the locations to live with stories and facts that we would have eas..., Paul was superb as a guide; friendly and welcoming, professional and very knowledgeable. He was proud and passionate about sharing the history of this part of the Basque region and rightly so… it’s so..., Our tour of Hondarribia 💚, San Juan 🩷, and San Pedro💜 from San Sebastián was fantastic. Iker is a wonderful guide. We enjoyed our tour from the moment Iker picked us up at our hotel in the black Audi...., Excellent tour. Extremely knowledgeable guide. So much history of Spain was taught.
She was so kind and thoughtful. I highly recommend this tour. I had an excellent day at all 3 locations despite the ..., The Bilbao/Gaztelugatxe tour was amazing. Our tour guide Paul was very knowledgeable and guided us through Gaztelugatxe and Bilbao with ease. He paired the spectacular walking views with enriching his...",Tours y Visitas Guiadas | Local Experts Tours,80,3.9 s,0,3.9 s,95,0.9 s,0,0.9 s,🟢 Stable,⚪ n/a,92,Good,343.1,0.0,188.4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpcr7gO9bv05cnrpAjM1yXmvfQV4H2BHPb7sJzylnHdWKdROXVeE7Sw2Gsrl6ng4Fm55AR2Iat6QdF34xbNRGMT-uFfhRg-9R0ZyiJvWDCQXGXmiJpuethquUfEo79Bg25DZcF-RUxyx80eLaDnURrpW2metJ_OEwR3kMlKSDy_IyJi7yux8bXhRN09_IDebjXGEawxXsMLjG3594_Je--tA-t3CCyolFBDm8v26NLlb6XWiZYmed_OvXVbCsr10OwHsE_IcH27lJVss7-i_2F7vgqzxnVmO6TQSskq9ev2VZDHA3mnI1EmTY5uejp162yTmWwZM&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,43.3016954,-2.021526999999999
foodlovertour.com,https://foodlovertour.com,EMEA,n/a,n/a,2.1 s,0.036,n/a,1.3 s,🟢 Stable,⚪ n/a,53,"High LCP (avg: 10.4s), Layout Shift (avg: 0.191)",foodlovertour.com,n/a,n/a,n/a,n/a,Local Food Tours Across Europe & Beyond | Food Lover Tour®,30,19.7 s,0.322,19.9 s,76,1.1 s,0.059,3.6 s,🔴 High (Slow),⚪ n/a,45,Poor,6286.9,2009.9,140.3,n/a,Yes,3,n/a,n/a
foodlovertour.com,https://foodlovertour.com,EMEA,n/a,n/a,2.1 s,0.036,n/a,1.3 s,🟢 Stable,⚪ n/a,53,"High LCP (avg: 10.4s), Layout Shift (avg: 0.191)",foodlovertour.com,n/a,n/a,n/a,n/a,Local Food Tours Across Europe & Beyond | Food Lover Tour®,30,19.7 s,0.322,19.9 s,76,1.1 s,0.059,3.6 s,🔴 High (Slow),⚪ n/a,45,Poor,6286.9,2009.9,140.3,n/a,Yes,3,n/a,n/a
foodlovertour.com,https://foodlovertour.com,EMEA,n/a,n/a,2.1 s,0.036,n/a,1.3 s,🟢 Stable,⚪ n/a,50,"High LCP (avg: 10.5s), Layout Shift (avg: 0.190)",foodlovertour.com,n/a,n/a,n/a,n/a,Local Food Tours Across Europe & Beyond | Food Lover Tour®,30,19.7 s,0.322,19.9 s,70,1.3 s,0.058,3.8 s,🔴 High (Slow),⚪ n/a,42,Poor,7473.2,2010.2,140.4,n/a,Yes,3,n/a,n/a
bfl.no,https://bfl.no,EMEA,n/a,n/a,1.5 s,0.002,n/a,1.3 s,🟢 Stable,⚪ n/a,90,"Mobile bonus (+2), Desktop bonus (+2)",bfl.no,n/a,n/a,n/a,n/a,Jostedalen Breførarlag | Føring og kurs i Noreg,85,3.5 s,0.005,14.3 s,96,0.8 s,0.071,3.1 s,🟢 Stable,⚪ n/a,94,Good,570.1,1196.8000000000002,145.6,n/a,Yes,3,n/a,n/a
vintageteatrips.ie,https://vintageteatrips.ie,EMEA,4.9,1607,1.7 s,0.0,n/a,1.3 s,🟢 Stable,⚪ n/a,68,High LCP (avg: 5.0s),Vintage Tea Trips,n/a,n/a,n/a,"We had a wonderful time on our tour.  Alex was a great guide and gave lots of interesting tidbits about Dublin.  Our two servers were also funny and delightful!  We loved the food, especially warm sco..., Such a lovely experience! The vintage bus is absolutely gorgeous and the afternoon tea was delicious—fresh scones, tasty sandwiches, and plenty of tea to go around. The staff were so friendly and full..., I am very behind in reviewing our travels to Ireland last month. This was by far one of our favorite experiences of our trip! High tea was not on my husband’s list of things he wanted to do (ever) so ..., My partner and I did this on our last day in Dublin and I'm SO HAPPY we did! My partner is vegan and they had everything set out for him, I also overheard someone else getting their halal menu explain..., We had a lovely experience on the Vintage Tea bus!  Our guide, Anna, was funny and informative but also left the passengers time to chat over our delicious tea served by Ella and Niamh. The food was v...",Vintage Tea Trips | Afternoon Tea Bus Tours in Dublin,69,8.1 s,0.002,14.3 s,67,1.8 s,0.004,5.2 s,🟡 Borderline,⚪ n/a,63,Needs Improvement,2601.6,1728.5,201.2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpce7VNGwPV-_8b4p67vDl7H7gmyWywWIqaC6EvgFzVZDRCS0yMTZNddPjUBm3vTZZdJw9MWFFM_D9zjOoKC5ZZkMC2uTtA8LiTbsGsJkdJPmwIzwrCurmEmKLx1AUOTgWgX4pbadHjJx5izJECINQeqqw9UAMYOmE1Dllz02CgFIkptMCPywO3dYM-mUOjTvv7k8Tx77bxopEawqo2xDeUZBlI4URCDvhxXIYOFanyrsqFpmRmk8HJCLZ6UUDjgGZnbaQ1qvA5Dth8otCv1pp3IsqSfJW4-PDENnl1Dw41rwD-pkWdiPxw_uqQo2V4gtmOQWjNjblg&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,53.3393024,-6.257539599999999
foodlovertour.com,https://foodlovertour.com,EMEA,n/a,n/a,2.1 s,0.036,n/a,1.3 s,🟢 Stable,⚪ n/a,56,"High LCP (avg: 6.8s), Layout Shift (avg: 0.203)",foodlovertour.com,n/a,n/a,n/a,n/a,Local Food Tours Across Europe & Beyond | Food Lover Tour®,40,12.5 s,0.347,18.2 s,72,1.2 s,0.06,3.7 s,🔴 High (Slow),⚪ n/a,48,Poor,7473.2,2011.6,140.3,n/a,Yes,3,n/a,n/a
foodlovertour.com,https://foodlovertour.com,EMEA,n/a,n/a,2.1 s,0.036,n/a,1.3 s,🟢 Stable,⚪ n/a,56,"High LCP (avg: 6.8s), Layout Shift (avg: 0.203)",foodlovertour.com,n/a,n/a,n/a,n/a,Local Food Tours Across Europe & Beyond | Food Lover Tour®,40,12.5 s,0.347,18.2 s,72,1.2 s,0.06,3.7 s,🔴 High (Slow),⚪ n/a,48,Poor,7473.2,2011.6,140.3,n/a,Yes,3,n/a,n/a
